FacilityID,Bays,Floodlit,Holes,Length
"2023120","","","18","6078.02"
"2023121","11","0","","228.6"
"2023165","","","9","2483.51"
"2023783","","","18","6249.92"
"2023805","","","18","5437.94"
"2024247","","","18","5398.62"
"2024312","","","9","4792.37"
"2024660","","","18","5878.68"
"2025374","","","18","5906.11"
"2025594","","","9","1832.46"
"2026165","19","1","","228.6"
"2026172","30","1","","228.6"
"2026197","","","18","6002.12"
"2026201","","","9","2846.53"
"2026207","10","0","","274.32"
"2026211","","","18","4601.26"
"2026220","","","9","2493.57"
"2026224","34","1","","310"
"2026231","18","1","","228.6"
"2026234","","","9","993.85"
"2026256","","","18","5940.86"
"2026258","24","1","","205.74"
"2026264","","","18","5514.75"
"2026308","","","18","5114.24"
"2026309","","","18","5835.7"
"2026326","","","9","2438.7"
"2026328","","","18","5855.82"
"2026329","","","18","4467.76"
"2026330","20","1","","274.32"
"2026357","","","9","1870.86"
"2026361","","","18","5630.88"
"2026408","","","18","5937.2"
"2026433","","","18","5529.38"
"2026441","","","18","1417.32"
"2026466","","","9","2036.37"
"2026498","","","18","5646.42"
"2026499","24","1","","250.55"
"2026526","37","1","","334.67"
"2026538","","","9","2841.04"
"2026579","","","9","982.07"
"2026581","24","1","","274.32"
"2026582","","","9","2651.76"
"2026583","","","18","5932.63"
"2026596","","","18","5472.68"
"2026597","20","1","","228.6"
"2026664","32","1","","182.88"
"2026792","","","9","1949.5"
"2026798","","","18","2286"
"2026803","","","18","5065.78"
"2026823","","","9","822.96"
"2026825","","","9","1097.28"
"2026826","10","1","","228.6"
"2026834","21","1","","274.32"
"2026835","","","18","6043.27"
"2026836","","","9","905.26"
"2026848","","","18","5514.75"
"2026849","24","1","","201.17"
"2026855","","","18","5946.34"
"2026866","","","12","571.5"
"2026896","","","9","3346.7"
"2026910","","","9","1170.43"
"2026914","","","9","873.25"
"2026917","19","0","","228.6"
"2026920","","","9","4485.13"
"2026921","15","1","","246.89"
"2026927","12","1","","274.32"
"2026932","","","9","1371.6"
"2026945","","","18","5831.13"
"2026949","11","0","","228.6"
"2026950","","","18","6448.35"
"2026954","","","18","6048.76"
"2026966","10","0","","365.76"
"2026982","","","9","640.08"
"2026983","16","1","","320.04"
"2026989","","","9","809.24"
"2026991","","","9","777.24"
"2026994","","","9","2476.2"
"2027002","","","9","4174.24"
"2027003","","","18","6001.21"
"2027005","8","0","","320.04"
"2027010","12","0","","228.6"
"2027012","10","0","","228.6"
"2027013","","","9","559.61"
"2027015","","","18","5725.06"
"2027038","10","0","","274.32"
"2027052","26","1","","274.32"
"2027068","20","0","","274.32"
"2027150","","","9","2485.34"
"2027151","","","9","2958.08"
"2027152","","","9","2803.55"
"2027181","","","12","2726.74"
"2027221","","","18","6541.62"
"2027233","","","9","2700"
"2027236","","","18","5850.33"
"2027262","","","9","2696.57"
"2027277","","","9","4243.73"
"2027280","17","1","","228.6"
"2027281","14","1","","228.6"
"2027283","","","9","2625.24"
"2027284","","","9","1090.88"
"2027285","33","1","","228.6"
"2027286","","","9","5083.15"
"2027287","","","18","5765.29"
"2027288","10","0","","256.03"
"2027289","","","18","5853.07"
"2027321","","","9","2578.61"
"2027325","","","9","649.22"
"2027328","","","18","5349.24"
"2027577","","","18","5334.61"
"2027723","","","18","5430.62"
"2027832","","","18","5968.29"
"2027992","10","1","","219.46"
"2028018","","","18","6595.57"
"2028037","","","18","6349.59"
"2028045","16","1","","320.04"
"2028050","13","0","","210.31"
"2028059","16","0","","274.32"
"2028061","","","9","868.68"
"2028065","","","18","5479.08"
"2028077","20","1","","274.32"
"2028108","19","1","","228.6"
"2028114","30","1","","274.32"
"2028125","","","9","896.11"
"2028129","","","9","684.89"
"2028134","","","9","2982.77"
"2028146","18","1","","274.32"
"2028156","","","18","5437.94"
"2028169","","","9","4089.2"
"2028178","","","18","5450.74"
"2028179","12","1","","274.32"
"2028181","","","9","1551.74"
"2028213","32","1","","228.6"
"2028214","","","9","649"
"2028215","","","18","5641.85"
"2028235","","","18","5636.36"
"2028237","","","9","2281.43"
"2028251","26","1","","228.6"
"2028253","","","9","800"
"2028260","10","1","","201.17"
"2028265","","","27","6700"
"2028267","","","9","2552.09"
"2028270","","","9","2377.44"
"2028273","16","1","","274.32"
"2028298","23","1","","228.6"
"2028457","","","9","2175.36"
"2028713","","","18","5237.68"
"2028932","","","18","5454.4"
"2028933","15","1","","274.32"
"2028937","","","18","3200.4"
"2028962","","","18","5778.09"
"2028967","","","9","4759.45"
"2029215","","","18","4613.148"
"2029217","","","18","2112.26"
"2029219","","","18","5643.68"
"2029220","20","0","","228.6"
"2029222","","","18","5739.69"
"2029232","","","9","2417.67"
"2029233","","","18","5737.86"
"2029234","22","1","","274.32"
"2029235","","","18","5940.86"
"2029236","","","9","2394.81"
"2029237","","","18","5656.48"
"2029238","","","18","5596.13"
"2029241","","","9","3057.75"
"2029242","","","9","3000"
"2029245","","","18","5124.3"
"2029246","11","1","","210.31"
"2029247","","","18","6140.2"
"2029248","11","0","","274.32"
"2029249","","","9","777.24"
"2029251","","","18","5401.36"
"2029252","","","18","6100"
"2029253","","","18","6045.1"
"2029254","","","18","2476.2"
"2029256","","","9","914.4"
"2029257","","","9","500"
"2029263","","","9","2347.26"
"2029264","","","9","1828.8"
"2029265","","","9","822.96"
"2029271","","","18","5694.88"
"2029373","","","18","6037.78"
"2029376","","","9","3152.85"
"2029377","","","9","3138.22"
"2029378","","","9","2926.99"
"2029397","","","9","2377.44"
"2029398","15","1","","274.32"
"2029407","","","18","5508.35"
"2029417","","","9","2442.36"
"2029418","10","0","","228.6"
"2029419","","","9","2286"
"2029420","","","18","5486.4"
"2029427","","","9","2522.83"
"2029428","26","1","","256.03"
"2029429","","","9","4778.468"
"2029439","","","18","5862.22"
"2029446","","","18","5899.71"
"2029456","","","9","774.5"
"2029457","","","9","1376.17"
"2029472","","","18","5650.99"
"2029473","","","18","5893.31"
"2029482","","","9","822.96"
"2029483","","","18","1912.92"
"2029522","","","18","2286"
"2029535","","","9","2500"
"2029561","10","1","","274.32"
"2029622","","","9","2011.68"
"2029624","20","1","","228.6"
"2029659","","","9","1056.13"
"2038040","20","1","","320.04"
"2038061","","","9","5530.29"
"2038080","","","9","1165.86"
"2038114","10","0","","228.6"
"2038117","","","18","2292.4"
"2038153","","","9","1591.97"
"2038274","","","18","6309.36"
"2038275","15","0","","320.04"
"2038381","56","1","","237.74"
"2038382","","","9","1188.72"
"2038512","12","0","","274.32"
"2038513","","","9","0"
"2038750","55","1","","228.6"
"2038810","10","0","","228.6"
"2039002","","","9","603.5"
"2039003","","","9","1746.5"
"2039093","","","9","2926.08"
"2039097","20","1","","240"
"2039128","23","1","","301.75"
"2039169","20","1","","260.6"
"2039202","","","9","2919.68"
"2039204","19","0","","274.32"
"2039213","","","18","5789.07"
"2039218","","","9","881.48"
"2039228","14","1","","274.32"
"2039304","","","12","2765.15"
"2039313","","","9","2946.2"
"2039317","","","18","4111.14"
"2039323","15","0","","274.32"
"2039348","10","0","","320.04"
"2039393","","","18","5652.82"
"2039395","10","0","","228.6"
"2039412","","","9","870.51"
"2039417","","","9","493.78"
"2039418","","","9","1256.39"
"2039419","","","9","2328.98"
"2039420","","","9","2206.45"
"2039424","","","18","5405.93"
"2070438","","","18","3732.58"
"2070670","","","18","1828.8"
"2071038","","","9","2493.57"
"2071064","","","9","2935.22"
"2071077","","","18","6424.57"
"2071382","15","1","","274.32"
"2071555","","","12","877.82"
"2071662","","","18","6117.34"
"2071708","","","9","800"
"2071862","24","1","","274.32"
"2073498","","","18","5017.31"
"2073534","28","1","","182.88"
"2073564","20","0","","274.32"
"2073613","","","9","5000"
"2073872","","","18","6497.73"
"2073873","","","9","822.96"
"2073876","","","18","6263.64"
"2074310","","","9","1098.19"
"2074317","10","0","","250"
"2074470","16","1","","228.6"
"2074493","","","9","865.02"
"2074496","","","9","2286"
"2074529","","","9","3069.64"
"2074747","","","9","822.96"
"2074824","","","9","1371.6"
"2074838","10","0","","146.3"
"2074854","","","9","2578.61"
"2074888","17","1","","320.04"
"2074899","","","18","1143"
"2074949","","","9","2798.98"
"2074958","","","9","1280.16"
"2074960","","","9","1155.8"
"2077104","","","18","5852.16"
"2078100","10","0","","228.6"
"2078108","10","0","","228.6"
"2079517","","","18","5894.22"
"2080054","","","18","6498.64"
"2080067","10","0","","274.32"
"2080071","","","9","2000"
"2080185","","","18","5195.62"
"2080186","","","9","1475.84"
"2080187","10","1","","228.6"
"2080323","14","1","","228.6"
"2080361","","","9","914.4"
"2080385","14","0","","274.32"
"2080386","","","18","5486.4"
"2081230","","","9","914.4"
"2082374","","","18","7204.56"
"2082375","10","0","","274.32"
"2082398","27","1","","228.6"
"2082466","","","9","1454.81"
"2082469","30","0","","237.74"
"2082471","","","9","1363.37"
"2082472","22","1","","228.6"
"2082575","52","1","","228.6"
"2082581","","","9","1247.24"
"2082583","12","0","","256.03"
"2082644","14","1","","274.32"
"2082682","36","1","","228.6"
"2082683","28","1","","254.2"
"2082686","","","18","1316.74"
"2082698","","","9","2659.08"
"2082701","","","9","2898.65"
"2082702","20","1","","228.6"
"2082858","","","9","1484.07"
"2082901","27","1","","228.6"
"2083127","14","1","","274.32"
"2083367","","","9","5356.56"
"2083382","12","1","","274.32"
"2083675","20","0","","274.32"
"2083700","","","9","2189.07"
"2083757","","","10","4572"
"2083882","27","1","","274.32"
"2084612","","","18","6288.33"
"2084613","16","1","","274.32"
"2084664","","","9","2028.14"
"2084812","12","0","","457.2"
"2084937","14","1","","228.6"
"2085133","","","9","1610.26"
"2085618","9","0","","201.17"
"2085985","","","9","2286"
"2086239","","","9","850"
"2087090","","","18","5000.85"
"2087324","20","1","","210.31"
"2087325","","","9","2027.22"
"2087656","","","9","2320"
"2089338","","","9","914.4"
"2089339","","","18","6495.9"
"2089353","","","9","1003.1"
"2089355","49","1","","228.6"
"2089381","","","18","1828.8"
"2089712","","","9","2500"
"2089981","","","9","0"
"2090073","","","9","3006.5"
"2090195","","","18","4228.19"
"2090196","12","1","","228.6"
"2090197","","","9","1097.28"
"2090211","","","9","1042.42"
"2090404","12","0","","182.88"
"2090534","","","9","800"
"2090551","","","18","6147.51"
"2090552","18","0","","274.32"
"2090873","16","1","","256.03"
"2090874","","","9","1138.43"
"2090893","20","0","","228.6"
"2091111","15","0","","228.6"
"2091477","","","9","2880.36"
"2091570","","","9","1922.98"
"2091573","","","18","4584.8"
"2091574","18","1","","228.6"
"2092421","","","9",""
"2092716","","","9","4080.97"
"2092724","","","9","1143.91"
"2092903","","","9","1125.63"
"2093597","","","9","2030.88"
"2093598","18","1","","274.32"
"2094705","30","1","","219.46"
"2095083","11","1","","228.6"
"2095398","","","18","5669.28"
"2096972","","","9","2451.51"
"2097809","","","9","800"
"2097842","","","9","3071.47"
"2097843","32","1","","233.17"
"2098182","","","18","4348.89"
"2098723","","","18","5939.94"
"2098970","","","9","2569.46"
"2100000","","","18","5870.45"
"2100001","","","18","6003.04"
"2100003","","","9","558.7"
"2100004","","","9","2381.1"
"2100005","","","18","5898.79"
"2100007","","","18","5807.35"
"2100009","","","18","5923.48"
"2100011","","","18","6767.47"
"2100012","","","18","5534.86"
"2100014","","","18","5558.64"
"2100015","","","18","6052.41"
"2100017","","","18","5948.17"
"2100018","","","18","5950.92"
"2100019","","","9","2834.64"
"2100020","","","10","5180.08"
"2100021","","","18","5093.21"
"2100022","","","18","5857.65"
"2100023","","","18","5779.01"
"2100024","","","18","5693.05"
"2100025","","","18","5398.62"
"2100027","","","18","4851.81"
"2100031","","","18","6059.73"
"2100032","","","18","6074.36"
"2100033","16","1","","228.6"
"2100035","","","9","2879.45"
"2100037","","","18","5629.05"
"2100038","","","9","746.15"
"2100039","20","1","","274.32"
"2100040","","","18","5718.66"
"2100042","","","9","2348.18"
"2100045","","","9","747.98"
"2100046","","","9","2436.88"
"2100047","","","18","5484.57"
"2100048","","","9","2824.58"
"2100050","","","18","5516.58"
"2100051","","","18","5415.08"
"2100053","","","18","5704.03"
"2100055","","","18","5133.44"
"2100056","","","18","5998.46"
"2100057","","","18","5889.65"
"2100058","","","18","6255.41"
"2100060","","","18","5970.12"
"2100061","","","18","6234.38"
"2100062","","","18","6155.74"
"2100063","","","18","6172.2"
"2100065","","","18","5497.37"
"2100066","","","18","6158.48"
"2100067","","","9","2755.09"
"2100068","","","18","6067.04"
"2100069","","","9","2129.64"
"2100070","","","9","2870.3"
"2100071","14","1","","228.6"
"2100072","","","11","3036.72"
"2100073","","","18","5552.24"
"2100074","","","18","5974.69"
"2100075","","","18","6327.65"
"2100076","","","18","5961.89"
"2100077","12","1","","232.26"
"2100078","","","18","6282.84"
"2100081","12","1","","237.74"
"2100082","","","18","5581.5"
"2100083","","","18","5309.01"
"2100084","20","1","","274.32"
"2100086","","","18","5216.65"
"2100087","","","9","2234.79"
"2100089","","","18","5766.21"
"2100091","","","9","2395.73"
"2100092","15","1","","228.6"
"2100095","","","18","5482.74"
"2100097","","","18","5946.34"
"2100098","","","18","5603.44"
